Settled Transactions 01/01/2020 to 08/10/2026
Transaction Date	Description	Type	Units	Price	Total Amount
03/22/2024	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.133	$130.60	$17.37
03/21/2024	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.057	$178.07	$10.15
03/21/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.604	$129.47	$78.25
03/21/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.439	$178.07	$78.25
03/21/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.592	$132.19	$78.25
03/21/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.318	$33.76	$78.25
03/15/2024	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.179	$127.86	$22.83
03/07/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.604	$129.24	$78.00
03/07/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.442	$176.49	$78.00
03/07/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.596	$130.81	$78.00
03/07/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.328	$33.51	$78.00
02/23/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.618	$126.56	$78.25
02/23/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.449	$174.39	$78.25
02/23/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.615	$127.15	$78.25
02/23/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.416	$32.39	$78.25
02/08/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.633	$123.28	$78.00
02/08/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.454	$171.93	$78.00
02/08/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.624	$124.92	$78.00
02/08/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.454	$31.78	$78.00
01/19/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	1.059	$121.13	$128.25
12/05/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.581	$134.11	$78.00
12/05/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.361	$216.36	$78.00
12/05/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.502	$155.40	$78.00
12/05/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.004	$38.93	$78.00
11/21/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.599	$130.50	$78.25
11/21/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.376	$207.90	$78.25
11/21/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.516	$151.71	$78.25
11/21/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.039	$38.38	$78.25
11/07/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.576	$135.41	$78.00
11/07/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.373	$209.23	$78.00
11/07/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.523	$149.25	$78.00
11/07/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.018	$38.66	$78.00
10/24/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.955	$134.34	$128.25
10/24/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.638	$201.12	$128.25
10/24/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.918	$139.67	$128.25
10/24/2024	Schwab Small Cap Index	BUY INVESTMENTS	3.564	$35.99	$128.25
10/10/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.569	$137.08	$78.00
10/10/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.391	$199.44	$78.00
10/10/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.567	$137.66	$78.00
10/10/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.198	$35.49	$78.00
09/27/2024	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.155	$137.88	$21.43
09/26/2024	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.057	$197.86	$11.31
09/20/2024	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.245	$135.52	$33.16
